,gene_name,X,threshold,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWCOFF,AWCON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
25610,inx-7,WBGene00002129,2,35.85043384,21.71940543,55.13910385,16.00510677,6.982670186,25.95818265,16.58470347,54.47137549,86.23423411,19.15195377,32.97080892,42.91551395,15.09706059,0,33.59431511,52.00694301,20.49554149,16.62332031,24.03412671,15.04578029,31.79621335,20.30293529,16.278828,189.6422233,14.463938,14.35036893,35.03257949,27.22709251,19.67273295,24.8544252,28.72108252,30.17538202,2.432593036,12.61547633,14.17161386,23.3468954,14.58286423,46.48683807,14.15864834,17.55174286,21.9906385,37.03594426,6.385783444,34.84265558,0,85.65583661,52.25313514,28.31476126,53.01456997,54.87494,36.17901582,33.39522607,28.69316019,0,8.055648801,32.82241006,58.56902096,31.60280476,91.72335759,31.42865505,30.17020188,0,24.62158307,36.07093566,23.80195367,58.56172406,23.34199072,31.01647212,33.48407627,53.3345527,0,0,0,96.13586151,16.7270521,8.83589322,27.008451,0,19.52123288,31.46412173,469.8185697,60.65409857,5.180521557,1.775726712,0,21.43566004,16.54894288,15.9614526,3.01592867,16.03017479,59.55824943,53.24469717,67.05628248,12.46529291,5.057050644,28.45391624,27.57375566,22.07651172,258.4279595,97.47978306,15.23125701,46.32149067,65.19935696,28.30908844,55.8580111,0,65.01518077,238.568972,64.59392657,59.24925943,55.24642258,26.57538264,75.56078564,75.73525222,68.43137115,43.04717125,34.40403262,20.36121053,14.40687891,56.1266704,21.46277716,116.2375557,40.60003346,55.94439765,37.929962,42.89904944,18.23754784,19.22015186
20211,inx-1,WBGene00002123,2,572.5335072,42.27949564,0,0,0,498.8335732,62.69528283,0,0,109.2526664,1142.268973,35.48983349,149.5417106,0,49.27426267,279.1276946,0,0,32.31480593,0,47.63181409,0,0,0,40.58206963,31.61545692,103.8041447,70.99778188,40.96539029,222.3730749,94.91033823,88.74906548,0,0,94.61808097,0,0,0,0,0,63.27632362,0,37.16253533,296.0743643,61.60798233,142.0171503,38.37558883,0,49.14103519,0,28.3467484,404.6142705,303.8088386,24.11755452,36.26502375,57.77096591,0,0,0,27.85248166,237.5170341,43.93040596,20.45664533,207.881951,0,496.031746,0,151.7331752,0,33.5654579,205.6976181,75.08105151,0,49.0649018,0,0,0,0,196.63975,66.56073537,98.20320603,67.3569261,12.85717324,78.22541414,0,0,38.71770468,112.8185699,0,226.298461,50.49729701,0,0,21.15845555,0,726.6904727,40.7027236,94.87662044,179.387537,228.391915,54.18806813,0,0,0,0,0,0,88.4292858,53.20929636,86.4741289,73.76461561,277.6360889,0,0,97.19494107,0,147.4940763,39.90412046,105.0874145,0,80.46278051,0,61.93035586,0,0,64.05104068,80.19446582,93.81029004
21851,inx-2,WBGene00002124,2,1.301528049,0,0,0,0,0,0.790031427,0,0,2.631673517,1.722892142,0,0.636164809,0,0,0,2.696423157,0.960957862,0,0,23.90999118,0,0.971626707,0,0,0,0,0,5.053391742,0,0,0,0,1.896487278,0,2.315127781,0,0,0,0,4.318514414,0,0,0,0,0.976452043,0,0,3.702143552,0,0,0,22.95747869,0,0,2.12872527,0.456472124,0,0,2.584017762,11.88216423,0,0,4.664301052,0,0,0,0,1.447075809,2.57897484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68797594,0,0,0,0,0,3.333564257,0.970203176,0,2.338168533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.176622322,0,0,0,0,0,0,0,1.344757432,0,0
22451,unc-9,WBGene00006749,2,147.1334992,82.63528178,0,0,0,110.1676924,52.51574067,39.7285435,135.845191,14.63947169,62.41717483,98.65582591,69.55127968,0,42.81651051,361.4695645,47.92454785,58.88784597,0,0,0,0,0,85.45968644,114.8235537,23.93590846,200.7614612,131.8892094,90.47243063,66.31030852,92.46707295,119.4950138,0,0,241.6168965,19.57807947,0,0,0,0,106.3909709,0,115.8355012,454.4978044,452.5547965,405.7294672,233.1970667,0,21.63927358,76.21511451,153.4026176,94.60363366,197.0978696,230.5359744,8.055648801,232.5151658,51.1669732,77.68478854,243.1347443,101.3176683,96.22638826,261.460109,140.9971219,122.6456673,30.29068881,30.29201502,178.8469997,527.0381527,27.39817163,159.7933887,95.71828059,278.8587366,67.2357223,88.34326147,78.92019304,0,30.0272392,128.3597869,135.1069599,68.49444113,35.10252398,114.3853395,130.2891463,101.9225857,104.6679827,12.33203244,16.936539,104.5937784,12.49494071,321.6783114,36.20754928,68.45757761,105.4263462,27.21318569,141.9930321,103.1605674,74.52478782,82.70982363,105.1870741,0,0,60.11014735,231.9907143,169.4795978,161.3453117,316.7840344,59.20461044,52.26216786,161.0425695,0,178.5853031,70.02648971,76.80139552,40.80069794,41.50059458,236.031355,121.1448775,492.7735386,76.70818977,180.8202179,243.9904947,478.3302751,240.263147,222.8519881,122.4114539,291.23744,570.7618912,156.1990242
51522,inx-8,WBGene00002130,2,0,12.36403101,0,0,0,0,0,0,1.331447147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903043469,0,0,0,0,5.909208489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419537861,0,0,2.59032336,0,0,0,0,29.18357901,0,0,13.66679851,0,0,0,36.43064291,0,0,0,0,0,54.83351284,0,0,0,1.302715757,0,0,0,0,0,0,0,0,0,0,0,0,66.3559234,0,0,0,0,0,0,0,0,0,0,0,0,2.884785755,0,0,162.021512,0,0,0,0,0,2.022455835,0,0,0,0,0,0,0,0,0,0,0
57131,unc-7,WBGene00006747,2,0,114.3548607,0,18.57016766,0,0,26.27476717,0,0,0,370.2493036,0,45.86751065,0,0,140.8043824,0,0,18.80569748,0,14.17725177,0,30.62771602,23.64869062,159.4935759,82.19817864,55.40118134,73.99534549,0,92.92371116,30.11378943,31.36729957,41.30669341,0,24.98487922,7.895138256,0,0,0,0,46.58226691,0,42.06758024,175.1790776,92.62479992,120.3867343,51.81995722,0,25.68336584,43.79734387,82.93248096,60.06258529,171.2149547,0,8.055648801,402.9224975,43.33196247,0,45.61902441,230.8453771,200.2208967,54.56724371,160.300258,227.55888,36.95367645,0,83.59563819,0,120.8393463,67.30272258,0,183.7721785,0,281.6339436,8.422073754,0,0,41.76615648,128.9538761,0,24.24821652,84.8069191,189.5457339,23.30702673,97.47588447,27.72434281,33.96494102,91.07868248,8.187640793,113.5331528,54.76382918,141.3723015,0,24.78802526,54.58477557,47.76624233,0,37.72988007,85.89972264,0,0,29.74103284,90.38730085,63.58774431,82.38152516,0,0,43.21306442,0,43.20786256,85.99758049,0,38.74091702,42.68043875,25.23675054,103.6607891,171.7063763,0,163.468859,0,45.34279316,13.60515069,22.93532071,0,16.43527752,201.495335,96.91896167,42.25242562
58051,inx-21,WBGene00002143,2,0,3.893400734,1.215617657,0,0,0,0,2.370564196,0,0,0.828480081,0,0,0,0,2.68732573,0,1.876992898,0.471693815,0,0,0,0,0,0.56610297,0,0,0,0,0,0,0,0,0.611737826,0,0.893362753,0,0,0,1.450231867,0,0,9.320388729,8.785878255,0,4.990185958,3.699376302,0,0,0,0,6.4587988,0,0,0,2.310760366,3.755269134,0,0,1.095698954,0,0,0,3.159847872,0,0,2.003826632,0,0,8.624651459,0,0,0,14.56914996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.326997056,2.572066814,3.05302396,0,1.380256891,0,0,0,0,0,0,0,0,0,0,0,69.7216423,0,0,1.231130816,0,0,0,0,0,1.556971508,32.10386336,2.528069793,0,0,0,0,0,0,0.972287324,1.007716577,0,0,0
58902,inx-14,WBGene00002136,2,0,4.190136824,0,0.549776634,0,1.888504011,0.809197027,0,0,0,9.36273529,1.479548557,0,0,0,0,0,0,2.710558147,0,0,0,0.117379358,1.916954918,0,1.690797961,2.118620532,0,6.909833863,0,1.310884436,1.717544666,0,0,0,0,0,0,0,2.722289943,0,0,3.66338917,1.609060446,0,1.921537042,0.620424437,0,0,0,0,0,24.28194862,0,0,0,0,0,0,1.58754604,0.611933397,0,5.493399988,0,0,0,7.012037443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19063298,0,0,0,0,0,6.440362271,0,0,0,1.699931186,0,1.684086042,0,0,0.657643114,0,26.22146204,3.274295624,2.863765268,3.788092779,7.230145552,0,0,0,0,0,0,0,0,10.19935147,34.34352909,1.05686082,6.956044693,6.715490416,0,0.877007763,0,1.724049552,0,3.016844879,1.762706968,3.951275227,6.75426879,0,0
61541,inx-10,WBGene00002132,2,0,11.11110905,4.841178278,4.649287913,6.01372431,3.10822423,0,7.774210283,12.36463797,4.632358155,8.781236859,7.851600351,10.0480317,0,0,11.19769343,0,6.122647183,11.47336471,14.37990042,0,3.746779253,1.999073298,0,11.12085459,0,4.435514983,5.971046354,26.80133994,0,0.666728707,4.211050849,0,4.497415297,6.863899063,2.730366662,26.41793087,37.11903972,1.64652805,0,51.59932332,4.121571781,3.668395109,28.35914545,44.21997062,15.02257195,14.69570995,10.31084703,25.98464693,4.359687066,14.51611621,12.03231169,19.72063563,13.002584,0,18.40204928,17.55927768,0,29.98954996,18.14359418,5.25472778,0,14.12632023,22.35586801,119.2397056,0,86.02298977,23.46089071,11.05835347,27.6207587,0,12.81818917,0,22.23075033,9.8608394,4.613836741,6.240371763,18.3103735,4.257292738,0,0,14.45125946,0,0,0,16.27316965,0,11.12154948,0,2.316840381,6.889185932,0,0,1.624971375,0,6.72012537,0,4.334684019,0,3.846910418,0,0,8.957815059,0,0,0,0,0,6.194621141,0,94.39971851,0,9.108153974,28.44414142,3.809871777,10.4004863,0,0,21.67817663,0,26.3261063,15.56734856,10.01157865,3.374323285,4.584433494,6.365977574,5.949468957,9.773939863
85661,inx-18,WBGene00002140,2,0,0,0,143.0898,0,0,0,0,0,50.93823,0,22.26464,0,0,0,0,0,0,0,0,0,0,191.9268,0,0,0,0,0,0,240.1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.5816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.8535,0,0,0,0,0,0,0,0,0
89811,inx-20,WBGene00002142,2,0,0,0,159.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02897,0,0,45.80226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106041,inx-19,WBGene00002141,2,0,0,0,0,0,0,0,46.70215,48.6039,5.875567,0,0,0,0,0,0,0,0,0,24.19587,0,0,0,0,0,80.1438,0,35.57894,38.69556,0,0,0,2.787814,0,0,0,0,0,0,0,8.475812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.6886,0,0,0,6.680043,0,0,76.02714,0,0,0,84.41432,0,0,0,0,0,0,0,3.747196,0,0,11.56014,0,0,0,0,0,235.1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40952,0
131372,inx-13,WBGene00002135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131381,inx-12,WBGene00002134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.8153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132682,inx-11,WBGene00002133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.14131,0,0,0,0,0,0,0,0,0,0,0,1070.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.28105,0,0,18.04331,0,0,0,0,0,0,0,0,30.09545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133001,eat-5,WBGene00001136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.150179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.9011,0,0,0,0,218.3334,0,0,0,0,0,0,0,0,0,0,0,0,0
135942,inx-22,WBGene00002144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5691833,0,0,0,0,0,0,1.380257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.09279,0,2.198831,0,0,0,0,0,0,0,0,0,0
224711,inx-9,WBGene00002131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247611,inx-6,WBGene00002128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652411,inx-3,WBGene00002125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692811,inx-5,WBGene00002127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
