pre	post	type	synapses
IL2VR	RMEL	chemical	5
IL2VR	RMER	chemical	5
IL2VR	RMEV	chemical	3
IL2VR	URAVR	chemical	7
IL2VR	URXR	chemical	2
IL2VR	URYVR	chemical	1
OLLL	AVER	chemical	32
OLLL	BWM-VR03	chemical	2
OLLL	CEPDL	chemical	8
OLLL	CEPVL	chemical	8
OLLL	IL1DL	chemical	1
OLLL	IL1L	chemical	1
OLLL	IL1VL	chemical	1
OLLL	OLQDL	electrical	1
OLLL	RIBL	chemical	14
OLLL	RMDDL	chemical	14
OLLL	RMDL	chemical	1
OLLL	RMDR	chemical	2
OLLL	RMDVL	chemical	15
OLLL	RMEL	chemical	1
OLLL	RMEV	chemical	1
OLLL	SMDDL	chemical	2
OLLL	SMDDR	chemical	7
OLLL	SMDVL	chemical	2
OLLL	SMDVR	chemical	6
OLLL	URYVL	chemical	1
OLLR	AVEL	chemical	32
OLLR	CEPDR	chemical	11
OLLR	CEPVR	chemical	7
OLLR	IL1DR	chemical	4
OLLR	IL1R	chemical	1
OLLR	IL1VR	chemical	2
OLLR	OLLL	electrical	2
OLLR	RIBR	chemical	13
OLLR	RIGR	electrical	1
OLLR	RMDDR	chemical	12
OLLR	RMDL	chemical	4
OLLR	RMDR	chemical	1
OLLR	RMDVR	chemical	18
OLLR	RMER	chemical	1
OLLR	SMDDL	chemical	6
OLLR	SMDVL	chemical	5
OLQDL	CEPDL	chemical	1
OLQDL	IL1DL	chemical	2
OLQDL	IL2DL	chemical	1
OLQDL	IL2L	chemical	5
OLQDL	RIBL	electrical	1
OLQDL	RICL	chemical	1
OLQDL	RICR	chemical	1
OLQDL	RIH	chemical	1
OLQDL	RMDDR	chemical	5
OLQDL	RMEV	chemical	1
OLQDL	RMHL	chemical	2
OLQDL	SIBVL	chemical	5
OLQDL	SMBDR	chemical	1
OLQDL	URBL	electrical	2
OLQDR	IL1DR	electrical	1
OLQDR	IL2R	chemical	4
OLQDR	RIBR	electrical	1
OLQDR	RICL	chemical	1
OLQDR	RICR	chemical	1
OLQDR	RIGR	electrical	1
OLQDR	RIH	electrical	1
OLQDR	RMDDL	chemical	4
OLQDR	RMDVR	electrical	1
OLQDR	RMHR	chemical	1
OLQDR	SIADL	chemical	1
OLQDR	SIBVR	chemical	4
OLQDR	SMBDL	chemical	1
OLQVL	IL2L	chemical	4
OLQVL	RICL	chemical	1
OLQVL	RICR	chemical	1
OLQVL	RMDVR	chemical	5
OLQVL	RMDVR	electrical	1
OLQVL	RMED	chemical	1
OLQVL	RMHL	chemical	1
OLQVL	SIBDL	chemical	5
OLQVL	URBL	chemical	1
OLQVL	URBL	electrical	2
OLQVR	DVA	electrical	1
OLQVR	IL2R	chemical	3
OLQVR	IL2VR	chemical	1
OLQVR	OLLR	electrical	1
OLQVR	RICR	chemical	1
OLQVR	RIGR	electrical	1
OLQVR	RIH	chemical	1
OLQVR	RMDVL	chemical	7
OLQVR	RMED	chemical	1
OLQVR	RMER	chemical	1
OLQVR	RMHR	electrical	1
OLQVR	SIBDR	chemical	7
OLQVR	URBR	electrical	2
PLNL	RMGL	chemical	1
PLNL	SAADL	chemical	9
PLNL	SMBVL	chemical	8
PLNR	RMGR	chemical	2
PLNR	SAADR	chemical	9
PLNR	SAAVL	chemical	1
PLNR	SMBVR	chemical	6
PLNR	SMDVL	chemical	3
PVCL	ADAL	chemical	1
PVCL	AVAL	chemical	2
PVCL	AVAR	chemical	1
PVCL	AVBL	chemical	5
PVCL	AVBR	chemical	9
PVCL	AVDL	chemical	1
PVCL	AVDR	chemical	4
PVCL	AVEL	chemical	3
PVCL	AVER	chemical	1
PVCL	AVHR	chemical	1
PVCL	AVJL	chemical	2
PVCL	AVJR	chemical	1
PVCL	AVJR	electrical	2
PVCL	BDUL	electrical	1
PVCL	FLPL	electrical	1
PVCL	FLPR	chemical	1
PVCL	PVCR	chemical	1
PVCL	RID	chemical	6
PVCL	RIS	chemical	1
PVCL	SAAVR	chemical	1
PVCL	SIBDL	chemical	1
PVCL	SIBVL	chemical	1
PVCR	AQR	chemical	1
PVCR	AVAL	chemical	1
PVCR	AVAR	chemical	4
PVCR	AVBL	chemical	11
PVCR	AVBR	chemical	8
PVCR	AVDL	chemical	6
PVCR	AVDR	chemical	1
PVCR	AVEL	chemical	3
PVCR	AVER	chemical	1
PVCR	AVHL	chemical	1
PVCR	AVJL	chemical	2
PVCR	AVKR	chemical	1
PVCR	SIBDR	chemical	6
PVCR	SIBVL	chemical	1
PVCR	SIBVR	chemical	4
PVNL	AVJL	chemical	2
PVNL	AVJR	chemical	2
PVNL	BDUL	chemical	3
PVNL	BDUR	chemical	4
PVNL	CEPshVL	chemical	1
PVNL	CEPshVR	chemical	1
PVNL	PVNR	chemical	1
PVNL	RIFL	chemical	1
PVNR	ALMR	chemical	2
PVNR	AVER	chemical	1
PVNR	AVJL	chemical	2
PVNR	AVM	chemical	1
PVNR	BDUL	chemical	2
PVNR	BDUR	chemical	5
PVNR	CEPVR	chemical	1
PVNR	PVNL	chemical	3
PVNR	RIFR	chemical	1
PVNR	RMGL	chemical	1
PVPL	ADAL	chemical	1
PVPL	AQR	chemical	3
PVPL	AQR	electrical	1
PVPL	ASHL	chemical	1
PVPL	AVAL	chemical	3
PVPL	AVAR	chemical	2
PVPL	AVBL	chemical	9
PVPL	AVBR	chemical	4
PVPL	AVDR	chemical	1
PVPL	AVER	chemical	2
PVPL	AVHR	chemical	1
PVPL	PVCL	chemical	5
PVPL	PVPR	electrical	1
PVPL	RIFL	chemical	1
PVPL	RIGL	chemical	1
PVPL	RIR	chemical	1
PVPL	RMFL	chemical	1
PVPR	ADAR	chemical	1
PVPR	AIBL	chemical	1
PVPR	AQR	chemical	1
PVPR	AVAR	chemical	2
PVPR	AVBL	chemical	5
PVPR	AVBR	chemical	7
PVPR	AVEL	chemical	1
PVPR	AVHL	chemical	1
PVPR	AVJL	chemical	1
PVPR	PVCL	chemical	3
PVPR	PVCR	chemical	4
PVPR	RIAR	chemical	2
PVPR	RIFR	chemical	2
PVPR	RIR	chemical	1
PVQL	ADAL	electrical	2
PVQL	ADLL	chemical	2
PVQL	AIAL	chemical	10
PVQL	ALA	chemical	1
PVQL	ASJL	chemical	2
PVQL	ASKL	chemical	8
PVQL	AWAL	chemical	1
PVQL	HSNR	chemical	1
PVQR	ADLR	chemical	1
PVQR	AIAR	chemical	8
PVQR	AIMR	chemical	1
PVQR	ALA	chemical	1
PVQR	ASER	chemical	2
PVQR	ASKR	chemical	8
PVQR	AVFL	chemical	2
PVQR	AVFR	chemical	2
PVQR	CEPshVR	chemical	1
PVQR	HSNR	chemical	4
PVR	ALMR	electrical	1
PVR	AVBL	chemical	10
PVR	AVBR	chemical	9
PVR	AVJL	chemical	1
PVR	AVJR	chemical	11
PVR	IL1DR	chemical	1
PVR	IL1VL	chemical	4
PVR	IL1VR	chemical	3
PVR	RIPL	chemical	8
PVR	RIPR	chemical	7
PVT	AIBL	chemical	3
PVT	AIBR	chemical	5
PVT	AVKL	chemical	11
PVT	AVKR	chemical	15
PVT	AVL	chemical	7
PVT	CEPshDL	chemical	2
PVT	CEPshVL	chemical	1
PVT	CEPshVR	chemical	1
PVT	DVC	chemical	13
PVT	IL2VL	chemical	1
PVT	IL2VR	chemical	1
PVT	RIBL	electrical	2
PVT	RIGL	chemical	3
PVT	RIGR	chemical	4
PVT	RMFL	chemical	6
PVT	RMFR	chemical	2
PVT	URAVL	chemical	1
PVT	URAVR	chemical	1
PVT	URYVL	chemical	1
RIAL	CEPDL	chemical	1
RIAL	CEPVL	chemical	3
RIAL	IL1L	chemical	1
RIAL	RIAR	chemical	49
RIAL	RIVL	chemical	3
RIAL	RIVR	chemical	2
RIAL	RMDDL	chemical	19
RIAL	RMDDR	chemical	18
RIAL	RMDL	chemical	26
RIAL	RMDR	chemical	29
RIAL	RMDVL	chemical	24
RIAL	RMDVR	chemical	16
RIAL	SIADL	chemical	12
RIAL	SIADR	chemical	2
RIAL	SIAVR	chemical	9
RIAL	SMBDL	chemical	1
RIAL	SMBVL	chemical	1
RIAL	SMDDL	chemical	11
RIAL	SMDDR	chemical	18
RIAL	SMDVL	chemical	17
RIAL	SMDVR	chemical	17
RIAR	CEPDL	chemical	1
RIAR	CEPVL	chemical	1
RIAR	CEPVR	chemical	1
RIAR	IL1R	chemical	2
RIAR	RIAL	chemical	52
RIAR	RIVL	chemical	2
RIAR	RIVR	chemical	6
RIAR	RMDDL	chemical	20
RIAR	RMDDR	chemical	29
RIAR	RMDL	chemical	22
RIAR	RMDR	chemical	27
RIAR	RMDVL	chemical	22
RIAR	RMDVR	chemical	27
RIAR	RMFR	chemical	1
RIAR	SIADL	chemical	2
RIAR	SIADR	chemical	12
RIAR	SIAVL	chemical	10
RIAR	SMDDL	chemical	20
RIAR	SMDDR	chemical	25
RIAR	SMDVL	chemical	22
RIAR	SMDVR	chemical	15
RIBL	AIBR	chemical	8
RIBL	AIZL	chemical	1
RIBL	AUAL	chemical	2
RIBL	AVAL	chemical	2
RIBL	AVAR	chemical	2
RIBL	AVEL	chemical	6
RIBL	AVER	chemical	10
RIBL	BAGR	chemical	7
RIBL	CEPDL	chemical	1
RIBL	CEPVL	chemical	1
RIBL	DVA	chemical	1
RIBL	OLLL	chemical	1
RIBL	RIAL	chemical	4
RIBL	RIGL	chemical	1
RIBL	RIS	chemical	3
RIBL	RMDR	chemical	1
RIBL	RMDR	electrical	2
RIBL	SIADL	electrical	1
RIBL	SIADR	electrical	1
RIBL	SIAVL	electrical	1
RIBL	SIBVR	electrical	1
RIBL	SMDDR	chemical	1
RIBL	SMDVR	chemical	2
RIBL	URYDL	chemical	1
RIBL	URYVL	chemical	1
RIBR	AIBL	chemical	2
RIBR	AUAR	chemical	1
RIBR	AVAR	chemical	2
RIBR	AVBL	electrical	1
RIBR	AVBR	electrical	1
RIBR	AVEL	chemical	10
RIBR	AVER	chemical	3
RIBR	BAGL	chemical	9
RIBR	DVC	electrical	1
RIBR	OLQVR	electrical	2
RIBR	PVT	electrical	2
RIBR	RIAR	chemical	4
RIBR	RIBL	electrical	3
RIBR	RIBR	electrical	1
RIBR	RIGR	chemical	2
RIBR	RIGR	electrical	1
RIBR	RIH	chemical	1
RIBR	RIS	chemical	2
RIBR	RMDL	chemical	2
RIBR	RMDL	electrical	1
RIBR	RMFL	chemical	1
RIBR	RMFR	chemical	1
RIBR	SIBDR	electrical	2
RIBR	SIBVL	electrical	1
RIBR	SIBVR	electrical	1
RIBR	SMDDL	chemical	1
RIBR	SMDDL	electrical	1
RIBR	SMDDR	chemical	1
RIBR	SMDVL	chemical	2
RIBR	SMDVL	electrical	1
RIBR	URYDR	chemical	1
RIBR	URYVR	chemical	2
RICL	ADAL	chemical	1
RICL	ADAR	chemical	1
RICL	AIBR	chemical	4
RICL	AVAL	chemical	12
RICL	AVAR	chemical	8
RICL	AVKR	electrical	3
RICL	CEPDL	chemical	1
RICL	CEPVL	chemical	1
RICL	RICR	chemical	2
RICL	RIML	chemical	4
RICL	RIMR	chemical	1
RICL	RIVL	chemical	1
RICL	RIVR	chemical	1
RICL	RMHR	chemical	1
RICL	SAADL	chemical	1
RICL	SMBDR	chemical	3
RICL	SMDDL	chemical	4
RICL	SMDDR	chemical	8
RICL	SMDDR	electrical	1
RICL	SMDVR	chemical	2
RICL	URBL	chemical	1
RICL	URXR	chemical	1
RICR	ADAL	chemical	1
RICR	ADAR	chemical	2
RICR	AVAL	chemical	3
RICR	AVAR	chemical	9
RICR	AVKR	electrical	1
RICR	CEPVL	chemical	1
RICR	CEPVR	chemical	1
RICR	RICL	chemical	3
RICR	RIMR	chemical	2
RICR	RIS	chemical	1
RICR	RIVL	chemical	1
RICR	RIVR	chemical	1
RICR	RMHL	chemical	1
RICR	RMHR	chemical	1
RICR	SAADR	chemical	1
RICR	SMBDR	chemical	2
RICR	SMDDL	chemical	6
RICR	SMDVL	chemical	2
RICR	SMDVR	chemical	1
RICR	URBL	chemical	1
RIFL	ADAL	chemical	1
RIFL	ALML	chemical	2
RIFL	ASHL	chemical	1
RIFL	AVAL	chemical	1
RIFL	AVBL	chemical	13
RIFL	AVBR	chemical	1
RIFL	AVDR	chemical	2
RIFL	AVEL	chemical	1
RIFL	AVHL	chemical	2
RIFL	AVHR	chemical	1
RIFL	AVJL	chemical	2
RIFL	AVJR	chemical	3
RIFL	BDUL	chemical	1
RIFL	PVPL	chemical	5
RIFL	RIML	chemical	3
RIFL	URXL	chemical	1
RIFR	ADAR	chemical	1
RIFR	AVBR	chemical	17
RIFR	AVFR	chemical	1
RIFR	AVHL	chemical	2
RIFR	AVHR	chemical	2
RIFR	BDUR	chemical	1
RIFR	HSNL	chemical	1
RIFR	PVPR	chemical	4
RIFR	RIMR	chemical	8
RIGL	AIBR	chemical	4
RIGL	AIZL	chemical	8
RIGL	AIZL	electrical	1
RIGL	AIZR	chemical	1
RIGL	AIZR	electrical	1
RIGL	AQR	electrical	1
RIGL	AVEL	chemical	8
RIGL	AVER	chemical	3
RIGL	AVKR	chemical	3
RIGL	AVKR	electrical	3
RIGL	BAGR	chemical	7
RIGL	BAGR	electrical	1
RIGL	DVC	chemical	2
RIGL	OLLL	electrical	1
RIGL	OLQDL	electrical	1
RIGL	OLQVL	chemical	1
RIGL	OLQVL	electrical	1
RIGL	PLNL	chemical	1
RIGL	PVT	chemical	1
RIGL	RIAL	chemical	6
RIGL	RIBL	chemical	5
RIGL	RIBL	electrical	3
RIGL	RIGL	electrical	1
RIGL	RIR	chemical	2
RIGL	RIVR	chemical	3
RIGL	RMFL	chemical	5
RIGL	RMHR	chemical	7
RIGL	SAADL	chemical	1
RIGL	URYDL	chemical	1
RIGL	URYDL	electrical	1
RIGL	URYVL	chemical	1
RIGL	URYVL	electrical	1
RIGR	ADFR	chemical	1
RIGR	AIBL	chemical	4
RIGR	AIBL	electrical	2
RIGR	AIZL	chemical	1
RIGR	AIZR	chemical	9
RIGR	ALNR	chemical	1
RIGR	AQR	electrical	2
RIGR	AVEL	chemical	1
RIGR	AVER	chemical	7
RIGR	AVKL	chemical	4
RIGR	AVKL	electrical	1
RIGR	AVKR	chemical	1
RIGR	BAGL	chemical	13
RIGR	BAGL	electrical	2
RIGR	DVC	chemical	3
RIGR	OLQVR	chemical	2
RIGR	RIBR	chemical	5
RIGR	RIGL	electrical	2
RIGR	RIR	chemical	1
RIGR	RMFR	chemical	5
RIGR	RMGR	chemical	1
RIGR	RMHL	chemical	5
RIGR	SAADR	chemical	1
RIGR	URYDR	chemical	1
RIGR	URYDR	electrical	1
RIGR	URYVR	chemical	1
RIH	AIYR	chemical	1
RIH	AIZL	chemical	8
RIH	AIZR	chemical	5
RIH	AUAL	chemical	2
RIH	AVEL	chemical	1
RIH	BAGL	chemical	1
RIH	CEPDL	chemical	3
RIH	CEPDR	chemical	2
RIH	CEPshVL	chemical	1
RIH	CEPshVR	chemical	1
RIH	CEPVL	chemical	1
RIH	CEPVL	electrical	1
RIH	CEPVR	chemical	5
RIH	GLRDR	chemical	1
RIH	IL1VR	chemical	2
RIH	IL2L	chemical	1
RIH	IL2R	chemical	2
RIH	OLQDL	chemical	6
RIH	OLQDR	chemical	6
RIH	OLQVL	chemical	4
RIH	OLQVR	chemical	4
RIH	RIAL	chemical	3
RIH	RIAR	chemical	12
RIH	RIBL	chemical	6
RIH	RIBR	chemical	7
RIH	RIGR	chemical	1
RIH	RIPL	chemical	7
RIH	RIPR	chemical	9
RIH	RMEV	chemical	1
RIH	URYVR	chemical	2
RIML	ADAL	chemical	1
RIML	AIBL	electrical	2
RIML	AIBR	chemical	7
RIML	AIZL	chemical	1
RIML	AVAL	electrical	1
RIML	AVAR	electrical	1
RIML	AVBL	chemical	2
RIML	AVBR	chemical	7
RIML	AVEL	chemical	1
RIML	AVER	electrical	1
RIML	AVJR	chemical	1
RIML	AVKL	chemical	1
RIML	AVKR	chemical	1
RIML	BWM-DR04	chemical	4
RIML	BWM-DR06	chemical	1
RIML	BWM-VR04	chemical	1
RIML	BWM-VR06	chemical	1
RIML	FLPL	electrical	1
RIML	RIBL	chemical	7
RIML	RIBR	chemical	1
RIML	RIS	chemical	2
RIML	RMDL	chemical	5
RIML	RMDR	chemical	7
RIML	RMFL	chemical	3
RIML	SAADL	chemical	2
RIML	SAADR	chemical	4
RIML	SAAVL	chemical	2
RIML	SAAVR	chemical	6
RIML	SIADL	chemical	1
RIML	SIBDR	chemical	1
RIML	SMDDL	chemical	10
RIML	SMDDR	chemical	2
RIML	SMDVL	chemical	5
RIML	SMDVR	chemical	3
RIMR	AIBL	chemical	10
RIMR	AIBL	electrical	1
RIMR	AVAL	chemical	2
RIMR	AVAL	electrical	4
RIMR	AVAR	chemical	1
RIMR	AVAR	electrical	2
RIMR	AVBL	chemical	5
RIMR	AVBR	chemical	1
RIMR	AVER	electrical	3
RIMR	AVKL	chemical	1
RIMR	BAGL	electrical	1
RIMR	BWM-DL04	chemical	2
RIMR	BWM-DL06	chemical	1
RIMR	BWM-VL04	chemical	3
RIMR	BWM-VL06	chemical	2
RIMR	RIBL	chemical	3
RIMR	RIBR	chemical	4
RIMR	RIGR	chemical	1
RIMR	RIML	chemical	1
RIMR	RIS	chemical	1
RIMR	RMDL	chemical	6
RIMR	RMDR	chemical	3
RIMR	RMFL	chemical	1
RIMR	RMFR	chemical	4
RIMR	SAADL	chemical	5
RIMR	SAADR	chemical	2
RIMR	SAAVL	chemical	5
RIMR	SAAVR	chemical	6
RIMR	SMDDL	chemical	5
RIMR	SMDDR	chemical	6
RIMR	SMDVL	chemical	2
RIMR	SMDVR	chemical	6
RIPL	RIPL	electrical	1
RIPR	RIPR	electrical	1
RIR	ADFL	chemical	1
RIR	ADFR	chemical	2
RIR	AIYL	chemical	2
RIR	AIZL	chemical	9
RIR	AIZR	chemical	11
RIR	AQR	chemical	5
RIR	AUAR	chemical	2
RIR	AVEL	chemical	1
RIR	AVER	chemical	1
RIR	AVHL	chemical	1
RIR	DVA	chemical	5
RIR	PVPL	chemical	2
RIR	PVPR	chemical	1
RIR	RIAL	chemical	7
RIR	RIAR	chemical	9
RIR	RIGL	chemical	2
RIR	RIGR	chemical	1
RIR	SMBVL	chemical	2
RIR	URXL	chemical	6
RIR	URXR	chemical	8
RIS	AIBL	chemical	1
RIS	AVEL	chemical	10
RIS	AVER	chemical	7
RIS	AVKL	chemical	9
RIS	AVKR	chemical	9
RIS	CEPDL	chemical	4
RIS	CEPshDL	chemical	2
RIS	CEPVL	chemical	3
RIS	CEPVR	chemical	2
RIS	OLQDR	chemical	1
RIS	RIBL	chemical	11
RIS	RIBR	chemical	11
RIS	RICL	chemical	1
RIS	RIML	chemical	9
RIS	RIMR	chemical	8
RIS	RMDL	chemical	1
RIS	RMDR	chemical	2
RIS	RMEV	chemical	1
RIS	RMFL	chemical	1
RIS	SMDDL	chemical	2
RIS	SMDDR	chemical	2
RIS	SMDVL	chemical	1
RIS	URYDL	chemical	2
RIS	URYDR	chemical	2
RIS	URYVL	chemical	2
RIVL	ADEL	chemical	1
RIVL	AIBL	electrical	1
RIVL	BWM-VL07	chemical	1
RIVL	BWM-VR03	chemical	1
RIVL	BWM-VR04	chemical	4
RIVL	BWM-VR05	chemical	4
RIVL	BWM-VR06	chemical	4
RIVL	BWM-VR07	chemical	5
RIVL	BWM-VR08	chemical	1
RIVL	excgl	chemical	2
RIVL	RIAL	chemical	5
RIVL	RIAR	chemical	3
RIVL	RIBL	electrical	1
RIVL	RMDDR	chemical	2
RIVL	RMDL	chemical	1
RIVL	RMDVL	chemical	3
RIVL	SAADR	chemical	4
RIVL	SIAVR	chemical	6
RIVL	SMDDR	chemical	2
RIVL	SMDVL	chemical	2
RIVL	SMDVL	electrical	1
RIVR	BWM-VL04	chemical	1
RIVR	BWM-VL05	chemical	5
RIVR	BWM-VL06	chemical	5
RIVR	BWM-VL07	chemical	6
RIVR	BWM-VL08	chemical	6
RIVR	RIAL	chemical	1
RIVR	RIAR	chemical	3
RIVR	RMDDL	chemical	2
RIVR	RMDR	chemical	2
RIVR	RMDVR	chemical	7
RIVR	RMGL	chemical	1
RIVR	SAADL	chemical	2
RIVR	SIAVL	chemical	10
RIVR	SMDDL	chemical	1
