GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
F53A9.5-1,FRPR-8-1,FLP-13-3,-6.533,-6.580 to -6.485,2.932E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-13-4,-5.599,-5.788 to -5.409,2.520E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-13-5,-7.551,-7.640 to -7.462,2.813E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-13-6,-5.712,-5.749 to -5.674,1.943E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-13-7,-5.878,-5.912 to -5.844,1.325E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-14-1,-6.409,-6.468 to -6.350,3.904E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-14-2,-6.606,-6.698 to -6.515,2.475E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-15-1,-5.614,-5.815 to -5.413,2.433E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-16-1,-6.442,-6.526 to -6.357,3.617E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-16-2,-6.710,-6.769 to -6.651,1.949E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-1,-6.814,-6.869 to -6.758,1.535E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-2,-6.300,-6.341 to -6.258,5.014E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-3,-7.550,-7.632 to -7.468,2.818E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-17-4,-6.468,-6.527 to -6.409,3.403E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-19-1,-5.930,-6.000 to -5.859,1.176E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-19-2,-6.296,-6.379 to -6.214,5.054E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-2-1,-5.622,-5.693 to -5.551,2.389E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-20-3,-5.939,-6.000 to -5.878,1.150E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-23-3,-6.099,-6.139 to -6.059,7.967E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-25-2,-12.880,-13.51 to -12.26,1.315E-13,,,,
F53A9.5-1,FRPR-8-1,FLP-28-1,-5.865,-6.036 to -5.694,1.364E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-32-1,-6.772,-6.856 to -6.687,1.692E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-4-1,-7.360,-7.444 to -7.277,4.361E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-4-2,-7.092,-7.154 to -7.031,8.086E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-6-2,-5.423,-5.503 to -5.343,3.775E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-7-1,-5.691,-5.765 to -5.617,2.038E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-7-2,-5.542,-5.620 to -5.464,2.869E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-7-3,-5.267,-5.456 to -5.078,5.407E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-8-1,-6.931,-6.984 to -6.878,1.172E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-8-2,-7.095,-7.152 to -7.038,8.029E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-9-1,-6.328,-6.390 to -6.266,4.700E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-9-2,-8.647,-8.789 to -8.506,2.253E-09,,,,
F53A9.5-1,FRPR-8-1,pyroFLP-10-1,-6.064,-6.139 to -5.989,8.634E-07,,,,
F53B7.2-1,FRPR-9-1,FLP-19-1,-7.302,-7.449 to -7.155,4.989E-08,,,,
F53B7.2-1,FRPR-9-1,FLP-19-2,-7.468,-7.588 to -7.347,3.407E-08,,,,
F53B7.2-2,FRPR-9-2,FLP-19-1,-7.268,-7.350 to -7.187,5.389E-08,,,,
F53B7.2-2,FRPR-9-2,FLP-19-2,-7.447,-7.545 to -7.348,3.573E-08,,,,
F54D7.3-1,GNRR-1-1,pyroNLP-47-1,-7.206,-7.270 to -7.142,6.220E-08,,,,
F56A12.2-1,NPR-43-1,pyroNLP-17-2,-6.921,-6.988 to -6.854,1.199E-07,,,,
F56A12.2-1,NPR-43-1,pyroNLP-17-3,-7.037,-7.117 to -6.957,9.187E-08,,,,
F57A8.4-1,NPR-39-1,FLP-14-1,-7.315,-7.517 to -7.113,4.845E-08,,,,
F57A8.4-1,NPR-39-1,FLP-8-1,-6.855,-6.989 to -6.721,1.397E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-1-6,-5.545,-5.675 to -5.415,2.851E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-10-1,-6.171,-6.298 to -6.044,6.746E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-11-1,-6.036,-6.130 to -5.942,9.209E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-11-2,-6.216,-6.309 to -6.123,6.085E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-11-3,-9.120,-9.284 to -8.957,7.582E-10,,,,
F57B7.1-1,DMSR-1-1,FLP-11-4,-6.110,-6.377 to -5.842,7.768E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-12-1,-6.264,-6.331 to -6.196,5.449E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-12-2,-5.873,-6.036 to -5.710,1.340E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-13-1,-7.345,-7.474 to -7.216,4.516E-08,,,,
F57B7.1-1,DMSR-1-1,FLP-13-2,-7.823,-7.908 to -7.738,1.504E-08,,,,
F57B7.1-1,DMSR-1-1,FLP-13-3,-8.946,-9.298 to -8.594,1.132E-09,,,,
F57B7.1-1,DMSR-1-1,FLP-13-4,-8.791,-9.092 to -8.490,1.619E-09,,,,
F57B7.1-1,DMSR-1-1,FLP-13-5,-8.642,-8.739 to -8.546,2.278E-09,,,,
F57B7.1-1,DMSR-1-1,FLP-13-6,-7.427,-7.516 to -7.338,3.740E-08,,,,
F57B7.1-1,DMSR-1-1,FLP-13-7,-7.922,-8.019 to -7.825,1.198E-08,,,,
F57B7.1-1,DMSR-1-1,FLP-14-2,-5.672,-5.802 to -5.542,2.127E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-16-1,-6.782,-6.855 to -6.710,1.651E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-16-2,-6.575,-6.651 to -6.499,2.661E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-17-1,-6.790,-6.879 to -6.700,1.622E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-17-2,-5.760,-5.837 to -5.682,1.739E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-17-3,-6.082,-6.145 to -6.020,8.273E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-17-4,-5.174,-5.451 to -4.897,6.698E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-19-1,-5.204,-5.577 to -4.831,6.254E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-19-2,-5.078,-5.902 to -4.253,8.365E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-21-1,-5.865,-6.312 to -5.419,1.363E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-23-3,-5.559,-6.171 to -4.946,2.764E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-24-1,-5.575,-5.862 to -5.288,2.658E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-25-1,-5.797,-6.470 to -5.125,1.596E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-25-2,-5.620,-5.893 to -5.347,2.398E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-26-5,-5.312,-5.812 to -4.812,4.873E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-28-1,-5.967,-6.134 to -5.800,1.079E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-32-1,-5.995,-6.159 to -5.832,1.011E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-33-2,-6.333,-6.470 to -6.196,4.647E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-4-1,-6.342,-6.425 to -6.258,4.554E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-4-2,-6.112,-6.250 to -5.975,7.722E-07,,,,
F57B7.1-1,DMSR-1-1,FLP-5-1,-5.690,-6.007 to -5.373,2.042E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-5-2,-5.653,-5.869 to -5.438,2.222E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-5-3,-5.596,-5.774 to -5.418,2.537E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-8-1,-5.833,-5.990 to -5.676,1.469E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-8-2,-5.734,-5.953 to -5.516,1.843E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-9-1,-5.897,-6.005 to -5.789,1.269E-06,,,,
F57B7.1-1,DMSR-1-1,FLP-9-2,-6.296,-6.409 to -6.184,5.055E-07,,,,
F57B7.1-1,DMSR-1-1,pyroFLP-10-1,-6.143,-6.272 to -6.014,7.193E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-1-6,-5.560,-5.614 to -5.506,2.753E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-10-1,-6.395,-6.451 to -6.339,4.025E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-11-1,-6.182,-6.212 to -6.152,6.583E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-11-2,-6.292,-6.340 to -6.245,5.101E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-11-3,-9.036,-9.178 to -8.894,9.204E-10,,,,
F57B7.1-2,DMSR-1-2,FLP-12-1,-6.750,-6.877 to -6.622,1.780E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-12-2,-6.468,-6.587 to -6.348,3.406E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-13-1,-8.023,-8.128 to -7.919,9.477E-09,,,,
F57B7.1-2,DMSR-1-2,FLP-13-2,-7.945,-8.041 to -7.849,1.135E-08,,,,
F57B7.1-2,DMSR-1-2,FLP-13-3,-8.608,-8.756 to -8.460,2.467E-09,,,,
F57B7.1-2,DMSR-1-2,FLP-13-4,-8.567,-8.735 to -8.399,2.709E-09,,,,
F57B7.1-2,DMSR-1-2,FLP-13-5,-8.194,-8.473 to -7.915,6.394E-09,,,,
F57B7.1-2,DMSR-1-2,FLP-13-6,-7.747,-7.874 to -7.620,1.792E-08,,,,
F57B7.1-2,DMSR-1-2,FLP-13-7,-8.278,-8.427 to -8.130,5.269E-09,,,,
F57B7.1-2,DMSR-1-2,FLP-14-2,-6.192,-6.252 to -6.133,6.423E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-16-1,-6.662,-6.738 to -6.586,2.178E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-16-2,-6.458,-6.506 to -6.410,3.484E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-17-1,-7.055,-7.120 to -6.991,8.804E-08,,,,
F57B7.1-2,DMSR-1-2,FLP-17-2,-6.176,-6.211 to -6.142,6.663E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-17-3,-6.865,-6.928 to -6.802,1.364E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-17-4,-5.766,-5.864 to -5.669,1.712E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-19-1,-5.713,-5.828 to -5.598,1.937E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-19-2,-5.597,-5.716 to -5.478,2.531E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-2-2,-5.510,-5.593 to -5.426,3.094E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-21-1,-5.309,-5.682 to -4.935,4.914E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-23-3,-5.465,-5.712 to -5.217,3.430E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-24-1,-5.439,-5.717 to -5.160,3.643E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-25-1,-11.390,-11.82 to -10.96,4.093E-12,,,,
F57B7.1-2,DMSR-1-2,FLP-25-2,-12.220,-13.44 to -11,6.022E-13,,,,
F57B7.1-2,DMSR-1-2,FLP-26-5,-5.146,-5.515 to -4.777,7.146E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-28-1,-6.287,-6.446 to -6.128,5.160E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-3-8,-5.192,-5.388 to -4.996,6.421E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-32-1,-6.039,-6.233 to -5.846,9.137E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-33-2,-6.235,-6.43 to -6.039,5.823E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-4-1,-6.756,-6.834 to -6.679,1.752E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-4-2,-6.345,-6.419 to -6.270,4.522E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-5-1,-5.748,-5.837 to -5.658,1.788E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-5-2,-5.861,-5.959 to -5.763,1.377E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-5-3,-5.883,-5.974 to -5.792,1.309E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-6-2,-5.208,-5.334 to -5.081,6.197E-06,,,,
F57B7.1-2,DMSR-1-2,FLP-8-1,-6.032,-6.095 to -5.968,9.290E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-8-2,-6.072,-6.188 to -5.957,8.466E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-9-1,-6.046,-6.117 to -5.975,8.993E-07,,,,
F57B7.1-2,DMSR-1-2,FLP-9-2,-6.910,-7.015 to -6.804,1.231E-07,,,,
F57B7.1-2,DMSR-1-2,pyroFLP-10-1,-6.279,-6.352 to -6.206,5.263E-07,,,,
K10B4.4-1,NMUR-2-1,NLP-44-1,-5.398,-5.629 to -5.166,4.003E-06,,,,
K10B4.4-1,NMUR-2-1,NLP-44-2,-8.655,-9.086 to -8.224,2.211E-09,,,,
K10B4.4-1,NMUR-2-1,NLP-44-3,-9.754,-11.27 to -8.237,1.763E-10,,,,
K10C8.2-1,FRPR-15-1,FLP-8-1,-7.778,-7.898 to -7.658,1.667E-08,,,,
M04G7.3-1,NPR-37-1,NLP-17-1,-7.613,-7.709 to -7.517,2.436E-08,,,,
M04G7.3-1,NPR-37-1,pyroNLP-17-2,-5.148,-5.265 to -5.031,7.113E-06,,,,
M04G7.3-1,NPR-37-1,pyroNLP-17-3,-5.328,-5.408 to -5.249,4.694E-06,,,,
M04G7.3-2,NPR-37-2,NLP-17-1,-10.980,-11.64 to -10.31,1.059E-11,,,,
M04G7.3-2,NPR-37-2,pyroNLP-17-2,-5.973,-6.03 to -5.916,1.063E-06,,,,
M04G7.3-2,NPR-37-2,pyroNLP-17-3,-6.201,-6.255 to -6.147,6.297E-07,,,,
R03A10.6-1,SPRR-1-1,NLP-42-1,-7.741,-7.806 to -7.675,1.818E-08,,,,
R03A10.6-1,SPRR-1-1,NLP-42-2,-8.095,-8.191 to -8,8.027E-09,,,,
R106.2-1,NPR-24-1,NLP-62-1 (C1-C8),-5.723,-5.875 to -5.572,1.890E-06,,,,
R12C12.3-1,FRPR-16-1,FLP-3-1,-8.131,-8.252 to -8.011,7.394E-09,,,,
R12C12.3-1,FRPR-16-1,FLP-3-2,-7.499,-7.67 to -7.328,3.170E-08,,,,
R12C12.3-1,FRPR-16-1,FLP-3-3,-6.540,-6.66 to -6.42,2.883E-07,,,,
R12C12.3-1,FRPR-16-1,FLP-3-4,-7.969,-8.087 to -7.851,1.074E-08,,,,
R12C12.3-1,FRPR-16-1,FLP-3-5,-7.142,-7.264 to -7.019,7.212E-08,,,,
R12C12.3-1,FRPR-16-1,FLP-3-7,-7.404,-7.516 to -7.292,3.945E-08,,,,
R12C12.3-1,FRPR-16-1,FLP-3-8,-5.802,-5.978 to -5.626,1.577E-06,,,,
R12C12.3-1,FRPR-16-1,FLP-3-9,-7.054,-7.159 to -6.949,8.830E-08,,,,
R12C12.3-1,FRPR-16-1,NLP-23-1,-5.639,-5.75 to -5.528,2.297E-06,,,,
R12C12.3-1,FRPR-16-1,pyroFLP-3-3,-6.540,-6.66 to -6.42,2.883E-07,,,,
T05A1.1-1,NPR-2-1,FLP-21-1,-7.206,-7.359 to -7.054,6.218E-08,,,,
T05A1.1-2,NPR-2-2,FLP-21-1,-7.429,-7.609 to -7.25,3.721E-08,,,,
T07D10.2-1,NTR-1-1,FLP-8-1,-7.308,-7.4 to -7.216,4.920E-08,,,,
T07D10.2-1,NTR-1-1,NTC-1-1 (C1-C6),-7.613,-7.708 to -7.518,2.436E-08,,,,
T14B1.2-1,AEX-2-1,NLP-40-2,-8.117,-8.242 to -7.991,7.645E-09,,,,
T19F4.1-1,FRPR-18-1,FLP-2-1,-7.678,-7.758 to -7.598,2.098E-08,,,,
T19F4.1-1,FRPR-18-1,FLP-2-2,-7.558,-7.638 to -7.478,2.766E-08,,,,
T19F4.1-2,FRPR-18-2,FLP-2-1,-8.162,-8.254 to -8.071,6.880E-09,,,,
T19F4.1-2,FRPR-18-2,FLP-2-2,-7.998,-8.113 to -7.884,1.004E-08,,,,
T22D1.12-1,NPR-12-1,FLP-33-1,-5.999,-6.109 to -5.890,1.002E-06,,,,
T23B3.4-1,CKR-1-1,NLP-12-1,-8.485,-8.698 to -8.271,3.275E-09,,,,
T23B3.4-1,CKR-1-1,NLP-12-2,-8.761,-8.928 to -8.594,1.733E-09,,,,
Y116A8B.5-2,NPR-32-2,NLP-64-2 (C4-C11),-7.220,-7.295 to -7.144,6.028E-08,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-1,-7.963,-8.131 to -7.795,1.089E-08,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-2,-7.818,-7.995 to -7.640,1.522E-08,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-4,-8.089,-8.249 to -7.928,8.154E-09,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-5,-8.427,-8.573 to -8.281,3.741E-09,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-6,-8.506,-8.654 to -8.358,3.119E-09,,,,
Y23H5B.4-1,DMSR-2-1,NLP-13-7,-8.439,-8.631 to -8.248,3.637E-09,,,,
Y23H5B.4-1,DMSR-2-1,pyroNLP-13-3,-8.607,-8.779 to -8.435,2.472E-09,,,,
Y39A3B.5-1,CKR-2-1,NLP-12-1,-8.116,-8.249 to -7.983,7.653E-09,,,,
Y39A3B.5-1,CKR-2-1,NLP-12-2,-8.066,-8.188 to -7.943,8.596E-09,,,,
Y41D4A.8-1,FRPR-19-1,FLP-14-1,-7.431,-7.523 to -7.338,3.708E-08,,,,
Y41D4A.8-1,FRPR-19-1,FLP-8-1,-7.062,-7.164 to -6.960,8.672E-08,,,,
Y41D4A.8-2,FRPR-19-2,FLP-14-1,-7.294,-7.349 to -7.240,5.076E-08,,,,
Y41D4A.8-2,FRPR-19-2,FLP-8-1,-7.093,-7.166 to -7.021,8.066E-08,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-1,-7.125,-7.188 to -7.062,7.502E-08,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-10,-7.519,-7.638 to -7.399,3.027E-08,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-2,-7.186,-7.281 to -7.091,6.516E-08,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-3,-7.243,-7.330 to -7.157,5.714E-08,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-4,-6.857,-6.935 to -6.778,1.391E-07,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-5,-8.247,-8.391 to -8.103,5.663E-09,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-6,-6.736,-6.805 to -6.666,1.838E-07,,,,
Y48A6B.1-1,DMSR-5-1,FLP-1-7,-7.070,-7.159 to -6.981,8.514E-08,,,,
Y48C3A.11-1,DMSR-3-1,FLP-14-1,-7.781,-7.913 to -7.648,1.656E-08,,,,
Y48C3A.11-1,DMSR-3-1,FLP-14-2,-7.382,-7.527 to -7.238,4.145E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-1,-7.060,-7.176 to -6.943,8.717E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-10,-7.772,-7.880 to -7.665,1.689E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-2,-7.477,-7.596 to -7.358,3.331E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-3,-7.078,-7.185 to -6.971,8.350E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-4,-7.087,-7.181 to -6.993,8.183E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-5,-7.846,-7.950 to -7.742,1.425E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-6,-7.221,-7.304 to -7.137,6.016E-08,,,,
Y54G11B.1-1,DMSR-6-1,FLP-1-7,-6.889,-6.990 to -6.788,1.292E-07,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-1,-7.908,-8.068 to -7.749,1.235E-08,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-2,-7.841,-8.019 to -7.663,1.442E-08,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-3,-8.104,-8.265 to -7.943,7.873E-09,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-4,-6.987,-7.101 to -6.873,1.030E-07,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-5,-7.680,-7.798 to -7.563,2.088E-08,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-6,-6.900,-7.046 to -6.753,1.260E-07,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-7,-7.221,-7.363 to -7.079,6.009E-08,,,,
Y58G8A.4-1,NPR-5-1,FLP-18-8,-7.388,-7.487 to -7.290,4.089E-08,,,,
Y58G8A.4-1,NPR-5-1,pyroFLP-18-2,-7.367,-7.517 to -7.217,4.296E-08,,,,
Y58G8A.4-1,NPR-5-1,pyroFLP-18-4,-7.569,-7.729 to -7.409,2.697E-08,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-1,-7.787,-7.887 to -7.687,1.633E-08,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-2,-8.006,-8.102 to -7.909,9.867E-09,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-3,-8.058,-8.162 to -7.953,8.758E-09,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-4,-6.875,-6.956 to -6.794,1.334E-07,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-5,-7.558,-7.656 to -7.460,2.769E-08,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-6,-6.863,-6.962 to -6.765,1.369E-07,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-7,-6.858,-6.952 to -6.764,1.387E-07,,,,
Y58G8A.4-3,NPR-5-3,FLP-18-8,-6.964,-7.176 to -6.752,1.085E-07,,,,
Y58G8A.4-3,NPR-5-3,pyroFLP-18-2,-7.354,-7.442 to -7.265,4.431E-08,,,,
Y58G8A.4-3,NPR-5-3,pyroFLP-18-4,-7.410,-7.520 to -7.299,3.893E-08,,,,
Y59H11AL.1-1,NPR-22-1,FLP-1-8,-6.078,-6.121 to -6.036,8.353E-07,,,,
Y59H11AL.1-1,NPR-22-1,FLP-1-9,-6.245,-6.292 to -6.198,5.690E-07,,,,
Y59H11AL.1-1,NPR-22-1,FLP-11-1,-5.939,-5.983 to -5.895,1.151E-06,,,,
Y59H11AL.1-1,NPR-22-1,FLP-11-2,-6.095,-6.125 to -6.065,8.034E-07,,,,
Y59H11AL.1-1,NPR-22-1,NLP-72-1,-7.981,-8.064 to -7.898,1.045E-08,,,,
Y59H11AL.1-1,NPR-22-1,NLP-72-2,-8.356,-8.477 to -8.236,4.404E-09,,,,
Y70D2A.1-1,NPR-40-1,FLP-14-1,-6.780,-7.077 to -6.483,1.661E-07,,,,
Y70D2A.1-1,NPR-40-1,FLP-8-1,-6.700,-6.869 to -6.531,1.996E-07,,,,
ZC374.1-1,GNRR-3-1,NLP-2-2,-6.254,-6.316 to -6.191,5.575E-07,,,,
ZC374.1-1,GNRR-3-1,NLP-2-3,-5.481,-5.557 to -5.406,3.302E-06,,,,
ZC374.1-1,GNRR-3-1,NLP-22-1,-5.172,-5.225 to -5.118,6.735E-06,,,,
ZC374.1-1,GNRR-3-1,NLP-23-2,-6.802,-6.872 to -6.733,1.576E-07,,,,
ZC412.1-1,NPR-13-1,FLP-18-7,-4.653,-4.749 to -4.558,2.221E-05,,,,
